name,email,about_us_url,slack_channel,confluence_url,jira_url,vision_deck_url,vision,mission,org,groups,subgroups,teams
People,people-group@canva.com,https://staff.canva.site/people-portal-home,#help-people,,,https://www.canva.com/design/DAErFHKkMoo/TXCxtT7Mo5l3KEbkUNHRPw/edit?utm_content=DAErFHKkMoo&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,Empower our team to do the best work of their lives.,People,"Canva Foundation
Operations Partnering
Vibe
People Programs
Performance
People Partnering Group
People Experience
People Operations
Reward & Global Mobility
Talent Acquisition","Talent Intelligence
Insights & Transformation
Leadership, US & EMEA TA
Experience Design
SEA & Customer Service TA
Learning, Skills & Development
Business TA
Sales TA
Advisory
Technology, Product & Design TA
People Central
Partnering & Coordination
Talent Agility
Wellbeing & Belonging
Headcount Operations
People Technology & Analytics","Leadership Operations
Internal Coaching
Learning Programs
Learning Experience Design
Growth & Impact
Space Creation
People Technology
Contingent TA
Leadership & Coaching Enablement
Product & Design TA
Research TA
People, Finance & Legal TA
Product Engineering TA
Workplace Experience
People Central Onboarding
Early Talent TA
Marketing TA
Operations Business Partnering
International Expansion & Acquisitions
People Central - Enablement
Admin Business Partnering
Learning Partners
HospoX
People Central Helpdesk
People Central Offboarding
Wellbeing
Program Management
People Central - Systems & Reporting
Skills & Development
Events
Recruitment Operations
Business Analysis
People Partnering
People Advisory
Contingent Workforce
Belonging
Talent Brand
Pathways TA
Platform Engineering TA
Location Partnering
People Operations Enablement
People Relations
People Analytics
Change Management
People Experience Insights
Engineering Leadership TA
Global Mobility
Reward
Graduate & Interns"
Security & Trust,security-and-trust@canva.com,,,,,,,,"Security, Trust & IT","Security
Trust & Safety
Protective Security
Technology Risk & Compliance","Threat Intelligence & Red Team
Privacy Engineering
Content Safety
Detection & Response
Enterprise Security
Application Security","Vulnerability Management
Identity & Access
Cyber Threat Intelligence
Security Insights
Digital Forensics & Incident Response
Red Team
Account Integrity
Consent Management Platform
Data Control Platform
Infra Security
Trust & Safety Operations
Abuse Insights
Detection Engineering, Tooling & Automation
Content Safety Platform
Internal Systems Security
Security Investigations & Research
Security Outreach
Security Platform Engineering
User Generated Content Safety
Ecosystem Security"
User Voice,,https://staff.canva.site/user-voice-website-home-page,#user-voice-org,https://canvadev.atlassian.net/wiki/spaces/UV/overview,,https://www.canva.com/design/DAGnMHSwUOs/Gu9eAHinZzVdbXk_fVS0uQ/edit,,"Every user empowered,  every voice heard",User Voice,"AI Help Experience
Service Design & Delivery
Global User Voice Enablement
Close the Loop
Specialist Operations","China Specialist Operations
Specialist Systems & Platform
Core Product Support
Print Support
Multilingual Support
Admin Support
High Sensitivity Support
Segment-specific Support
Back of House Operations","Admin Support NA
Print Support PH
High Sensitivity Support PH
Customer Service Learning
Advanced Product Support
Affinity Support
Specialist Experience & Platform
Admin Support EMEA
Close the Loop Operations
Print Design Support
Contact Experience & Handovers
Back of House Operations PH
Advanced Chat Support
User Voice Systems
Flourish Support
Vendor Partnership
Creators Support
Advanced Billing & Subscriptions
Workforce Management (WFM)
Service Quality
AI Help Experience Data
Gruve Data
Help Content & Findability
Admin Support APJ
Admin Support PH
Core Product Support Escalation Team
PHL, Multilingual Support
Contextual Self-Help
Help AI Platform
Service Design & Support Experiences
User Voice Content Operations
Help Content Experience & Platforms
Design Research"
Product Platform,product-platform@canva.com,https://canvadev.atlassian.net/wiki/spaces/PRP/overview?homepageId=2596308505,#product-platform-community,https://canvadev.atlassian.net/wiki/spaces/PRP/overview?homepageId=2596308505,,,,Build pathways that empower Canva to deliver a delightful experience for billions of users,Platform,"Client Platform
Product Insights Enablement (PIE)
User Platform
API Platform","Web Platform
Continuous Insights (CoI)
Rollout Insights (RI)
Pages Platform
Design System
Accessibility
Mobile Platform","Design System Experience
Design System Evolution
Design System Core
Desktop App
Frontend Core Libraries
Continuous Accessibility
User Product
CMS
Core Libraries
Page Content & Delivery
Permissions & Capabilities
Offline
Edge
Internationalisation
RPC
Cross Platform
Product Quality
Experiments
Native Infra
Feature Control
Product Analytics
Performance Monitoring
User Core
Gateway
Page Assembly
Accessibility Features"
Teams & Education,Teams-and-education@canva.com,,#teams-and-education,https://canvadev.atlassian.net/wiki/spaces/ENT/overview,,,,"Power up design to enable learning, creativity, collaboration, and productivity!",Product,"Admin Experience
Brand Experience
Learning Experience
Grow
Business Workflows",,"Real Estate & Sales
Team Expansion
Data Admin
Brand Operations & Approvals
Education Growth
Design Insights
Brand Identity
Publish & Notifications
Brand Application
Brand Templates
Engaging Learning
Admin Insights
Consolidation
People Admin
Learning Workflows
Design at Scale
Settings
B2B Product Growth
Education Lifecycle
Ad Publish & Insights
Inspire & Create
Learn Grid Content Studio"
Growth,growth-supergroup@canva.com,https://www.canva.com/design/DAFGQmQq5nM/A33IX_WPLkSvjxekZtsrLw/edit?utm_content=DAFGQmQq5nM&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,#growth-supergroup,https://canvadev.atlassian.net/wiki/spaces/BE/overview?homepageId=1745685427,,,,"Put Canva into the hands of customers all over the world, & to help them realise its full value",Growth,"Logged Out Experience
Logged In Experience
Foundational Goals Strategy & Performance
Print
Revenue Platform","Monetisation Enablement
Payments & Fraud
Print Operations
Pricing & Packaging
Subscriptions
Experience Value
Experience Paid Value","Billing Experience
Print Products
Print Fulfillment
